DATE,VALUE
1947-04-01,26.2
1947-07-01,26.7
1947-10-01,27.7
1948-01-01,28.0
1948-04-01,28.6
1948-07-01,28.8
1948-10-01,28.5
1949-01-01,28.0
1949-04-01,27.7
1949-07-01,27.4
1949-10-01,27.2
1950-01-01,27.3
1950-04-01,27.6
1950-07-01,28.9
1950-10-01,30.0
1951-01-01,30.9
1951-04-01,31.0
1951-07-01,30.6
1951-10-01,30.9
1952-01-01,30.9
1952-04-01,30.7
1952-07-01,30.6
1952-10-01,30.2
1953-01-01,30.3
1953-04-01,30.4
1953-07-01,30.4
1953-10-01,30.4
1954-01-01,30.4
1954-04-01,30.4
1954-07-01,30.3
1954-10-01,30.3
1955-01-01,30.3
1955-04-01,30.5
1955-07-01,30.5
1955-10-01,30.7
1956-01-01,30.9
1956-04-01,31.4
1956-07-01,31.6
1956-10-01,31.9
1957-01-01,32.1
1957-04-01,32.5
1957-07-01,32.6
1957-10-01,33.0
1958-01-01,33.4
1958-04-01,33.3
1958-07-01,33.2
1958-10-01,33.1
1959-01-01,33.2
1959-04-01,33.2
1959-07-01,33.4
1959-10-01,33.0
1960-01-01,33.4
1960-04-01,33.4
1960-07-01,33.4
1960-10-01,33.6
1961-01-01,33.6
1961-04-01,33.3
1961-07-01,33.3
1961-10-01,33.4
1962-01-01,33.5
1962-04-01,33.4
1962-07-01,33.8
1962-10-01,33.5
1963-01-01,33.3
1963-04-01,33.5
1963-07-01,33.4
1963-10-01,33.4
1964-01-01,33.4
1964-04-01,33.5
1964-07-01,33.6
1964-10-01,33.6
1965-01-01,33.7
1965-04-01,34.2
1965-07-01,34.3
1965-10-01,34.7
1966-01-01,35.0
1966-04-01,34.9
1966-07-01,35.6
1966-10-01,35.4
1967-01-01,35.3
1967-04-01,35.7
1967-07-01,35.8
1967-10-01,36.0
1968-01-01,36.3
1968-04-01,36.6
1968-07-01,37.0
1968-10-01,37.1
1969-01-01,37.4
1969-04-01,38.0
1969-07-01,38.3
1969-10-01,38.9
1970-01-01,39.1
1970-04-01,39.2
1970-07-01,39.6
1970-10-01,39.8
1971-01-01,40.2
1971-04-01,40.6
1971-07-01,40.7
1971-10-01,41.1
1972-01-01,41.3
1972-04-01,41.7
1972-07-01,42.2
1972-10-01,42.7
1973-01-01,44.4
1973-04-01,45.5
1973-07-01,46.9
1973-10-01,47.6
1974-01-01,50.2
1974-04-01,51.3
1974-07-01,54.3
1974-10-01,56.4
1975-01-01,56.6
1975-04-01,57.9
1975-07-01,59.3
1975-10-01,60.1
1976-01-01,60.0
1976-04-01,60.5
1976-07-01,61.1
1976-10-01,62.4
1977-01-01,63.7
1977-04-01,64.6
1977-07-01,65.5
1977-10-01,66.7
1978-01-01,67.8
1978-04-01,69.7
1978-07-01,71.1
1978-10-01,72.8
1979-01-01,75.0
1979-04-01,76.6
1979-07-01,79.5
1979-10-01,82.2
1980-01-01,85.5
1980-04-01,87.3
1980-07-01,90.1
1980-10-01,91.8
1981-01-01,94.7
1981-04-01,96.5
1981-07-01,97.2
1981-10-01,98.3
1982-01-01,98.8
1982-04-01,99.8
1982-07-01,100.7
1982-10-01,101.8
1983-01-01,101.0
1983-04-01,101.6
1983-07-01,102.2
1983-10-01,102.3
1984-01-01,103.8
1984-04-01,103.8
1984-07-01,103.8
1984-10-01,104.0
1985-01-01,104.1
1985-04-01,104.6
1985-07-01,103.8
1985-10-01,106.0
1986-01-01,102.8
1986-04-01,103.1
1986-07-01,102.9
1986-10-01,103.6
1987-01-01,104.5
1987-04-01,105.5
1987-07-01,106.2
1987-10-01,105.8
1988-01-01,106.6
1988-04-01,107.5
1988-07-01,109.0
1988-10-01,110.0
1989-01-01,112.3
1989-04-01,114.0
1989-07-01,114.0
1989-10-01,115.5
1990-01-01,117.5
1990-04-01,117.6
1990-07-01,120.7
1990-10-01,122.0
1991-01-01,121.3
1991-04-01,121.4
1991-07-01,121.5
1991-10-01,122.3
1992-01-01,122.4
1992-04-01,123.4
1992-07-01,123.7
1992-10-01,124.2
1993-01-01,125.0
1993-04-01,125.2
1993-07-01,124.1
1993-10-01,124.4
1994-01-01,125.1
1994-04-01,125.2
1994-07-01,125.9
1994-10-01,126.6
1995-01-01,127.4
1995-04-01,127.8
1995-07-01,128.1
1995-10-01,129.3
1996-01-01,130.5
1996-04-01,131.3
1996-07-01,131.7
1996-10-01,132.9
1997-01-01,132.6
1997-04-01,131.3
1997-07-01,131.6
1997-10-01,131.4
1998-01-01,130.5
1998-04-01,130.4
1998-07-01,130.4
1998-10-01,131.3
1999-01-01,131.5
1999-04-01,132.4
1999-07-01,134.5
1999-10-01,135.2
2000-01-01,137.3
2000-04-01,138.1
2000-07-01,139.0
2000-10-01,140.5
2001-01-01,141.2
2001-04-01,141.8
2001-07-01,141.3
2001-10-01,138.0
2002-01-01,138.8
2002-04-01,138.8
2002-07-01,139.2
2002-10-01,139.7
2003-01-01,144.0
2003-04-01,142.7
2003-07-01,144.0
2003-10-01,145.1
2004-01-01,146.2
2004-04-01,148.4
2004-07-01,148.8
2004-10-01,151.4
2005-01-01,153.7
2005-04-01,153.9
2005-07-01,158.8
2005-10-01,159.6
2006-01-01,159.3
2006-04-01,161.4
2006-07-01,160.2
2006-10-01,161.1
2007-01-01,164.1
2007-04-01,166.1
2007-07-01,167.6
2007-10-01,171.7
2008-01-01,175.4
2008-04-01,181.2
2008-07-01,182.7
2008-10-01,169.7
2009-01-01,169.1
2009-04-01,173.5
2009-07-01,173.5
2009-10-01,177.1
2010-01-01,178.9
2010-04-01,178.3
2010-07-01,180.1
2010-10-01,183.9
2011-01-01,188.6
2011-04-01,190.6
2011-07-01,192.7
2011-10-01,192.6
2012-01-01,193.9
2012-04-01,192.1
2012-07-01,196.6
2012-10-01,195.3
2013-01-01,196.1
